2022-06-22 17:00:35 INFO  datax-service-data-console background-preinit org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.6.Final
2022-06-22 17:00:39 INFO  datax-service-data-console main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Fetching config from server at : http://localhost:8611/
2022-06-22 17:00:44 INFO  datax-service-data-console main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Located environment: name=datax-service-data-console, profiles=[dev], label=null, version=null, state=null
2022-06-22 17:00:44 INFO  datax-service-data-console main org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/config/datax-service-data-console-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/config/application-dev.yml'}]
2022-06-22 17:00:44 INFO  datax-service-data-console main cn.datax.service.data.metadata.console.DataxConsoleApplication The following profiles are active: dev
2022-06-22 17:00:46 INFO  datax-service-data-console main org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2022-06-22 17:00:46 INFO  datax-service-data-console main org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-06-22 17:00:46 INFO  datax-service-data-console main org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2022-06-22 17:00:46 INFO  datax-service-data-console main org.springframework.cloud.context.scope.GenericScope BeanFactory id=26ec2b9e-eead-3707-991e-209beda1bc0e
2022-06-22 17:00:47 INFO  datax-service-data-console main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:00:47 INFO  datax-service-data-console main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$1f1ba068] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:00:47 INFO  datax-service-data-console main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:00:47 INFO  datax-service-data-console main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@3dfd7eaa' of type [org.springframework.security.oauth2.provider.expression.OAuth2MethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:00:47 INFO  datax-service-data-console main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:00:48 INFO  datax-service-data-console main io.undertow.servlet Initializing Spring embedded WebApplicationContext
2022-06-22 17:00:48 INFO  datax-service-data-console main org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 4722 ms
2022-06-22 17:00:49 INFO  datax-service-data-console main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-06-22 17:00:49 INFO  datax-service-data-console main com.netflix.config.DynamicPropertyFactory DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@7433ca19
2022-06-22 17:00:49 INFO  datax-service-data-console main org.springframework.boot.actuate.endpoint.web.ServletEndpointRegistrar Registered '/actuator/hystrix.stream' to hystrix.stream-actuator-endpoint
2022-06-22 17:00:52 INFO  datax-service-data-console main com.zaxxer.hikari.HikariDataSource mysql - Starting...
2022-06-22 17:00:54 INFO  datax-service-data-console main com.zaxxer.hikari.HikariDataSource mysql - Start completed.
2022-06-22 17:00:54 INFO  datax-service-data-console main com.baomidou.dynamic.datasource.DynamicRoutingDataSource dynamic-datasource - load a datasource named [mysql] success
2022-06-22 17:00:54 INFO  datax-service-data-console main com.baomidou.dynamic.datasource.DynamicRoutingDataSource dynamic-datasource initial loaded [1] datasource,primary datasource named [mysql]
2022-06-22 17:00:58 INFO  datax-service-data-console main org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver Exposing 18 endpoint(s) beneath base path '/actuator'
2022-06-22 17:00:58 INFO  datax-service-data-console main springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-06-22 17:00:58 INFO  datax-service-data-console main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-06-22 17:00:58 INFO  datax-service-data-console main org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2022-06-22 17:01:01 INFO  datax-service-data-console main org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration 

Using generated security password: 3371163c-4d6c-4827-8efb-380d3bde2024

2022-06-22 17:01:02 INFO  datax-service-data-console main org.springframework.security.web.DefaultSecurityFilterChain Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6abdead7, org.springframework.security.web.context.SecurityContextPersistenceFilter@2b01bb54, org.springframework.security.web.header.HeaderWriterFilter@33ef701e, org.springframework.security.web.authentication.logout.LogoutFilter@26aecf31, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@353b5d86, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3520d2db, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76320633, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@412b90cc, org.springframework.security.web.session.SessionManagementFilter@52bef30b, org.springframework.security.web.access.ExceptionTranslationFilter@6b5f91a5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@45fdd38d]
2022-06-22 17:01:03 INFO  datax-service-data-console main org.springframework.cloud.netflix.eureka.config.DiscoveryClientOptionalArgsConfiguration Eureka HTTP Client uses Jersey
2022-06-22 17:01:03 INFO  datax-service-data-console main org.springframework.cloud.netflix.eureka.InstanceInfoFactory Setting initial instance status as: STARTING
2022-06-22 17:01:04 INFO  datax-service-data-console main com.netflix.discovery.DiscoveryClient Initializing Eureka in region us-east-1
2022-06-22 17:01:04 INFO  datax-service-data-console main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON encoding codec LegacyJacksonJson
2022-06-22 17:01:04 INFO  datax-service-data-console main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON decoding codec LegacyJacksonJson
2022-06-22 17:01:04 INFO  datax-service-data-console main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML encoding codec XStreamXml
