2022-06-13 22:18:39 INFO  datax-service-workflow background-preinit org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.6.Final
2022-06-13 22:18:40 INFO  datax-service-workflow main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.retry.annotation.RetryConfiguration' of type [org.springframework.retry.annotation.RetryConfiguration$$EnhancerBySpringCGLIB$$445fc899] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-13 22:18:41 INFO  datax-service-workflow main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Fetching config from server at : http://localhost:8611/
2022-06-13 22:18:42 INFO  datax-service-workflow main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Located environment: name=datax-service-workflow, profiles=[dev], label=null, version=null, state=null
2022-06-13 22:18:42 INFO  datax-service-workflow main org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/config/datax-service-workflow-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/config/application-dev.yml'}]
2022-06-13 22:18:42 INFO  datax-service-workflow main cn.datax.service.workflow.DataxWorkflowApplication The following profiles are active: dev
2022-06-13 22:18:44 INFO  datax-service-workflow main org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2022-06-13 22:18:44 INFO  datax-service-workflow main org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-06-13 22:18:44 INFO  datax-service-workflow main org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 21ms. Found 0 Redis repository interfaces.
2022-06-13 22:18:45 INFO  datax-service-workflow main org.springframework.cloud.context.scope.GenericScope BeanFactory id=e612686c-514d-3889-b8d4-9c184aaf1e23
2022-06-13 22:18:45 INFO  datax-service-workflow main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
