2022-06-22 16:57:13 INFO  datax-service-system background-preinit org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.6.Final
2022-06-22 16:57:18 INFO  datax-service-system main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Fetching config from server at : http://localhost:8611/
2022-06-22 16:57:21 INFO  datax-service-system main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Located environment: name=datax-service-system, profiles=[dev], label=null, version=null, state=null
2022-06-22 16:57:21 INFO  datax-service-system main org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/config/datax-service-system-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/config/application-dev.yml'}]
2022-06-22 16:57:21 INFO  datax-service-system main cn.datax.service.system.DataxSystemApplication The following profiles are active: dev
2022-06-22 16:57:28 INFO  datax-service-system main org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2022-06-22 16:57:28 INFO  datax-service-system main org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-06-22 16:57:29 INFO  datax-service-system main org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 120ms. Found 0 Redis repository interfaces.
2022-06-22 16:57:29 INFO  datax-service-system main org.springframework.cloud.context.scope.GenericScope BeanFactory id=6962b505-eb82-35aa-9b99-a4a25b741627
2022-06-22 16:57:30 INFO  datax-service-system main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 16:57:30 INFO  datax-service-system main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$359b5f7f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 16:57:30 INFO  datax-service-system main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 16:57:30 INFO  datax-service-system main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@35c8be21' of type [org.springframework.security.oauth2.provider.expression.OAuth2MethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 16:57:30 INFO  datax-service-system main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 16:57:31 INFO  datax-service-system main io.undertow.servlet Initializing Spring embedded WebApplicationContext
2022-06-22 16:57:31 INFO  datax-service-system main org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 10148 ms
2022-06-22 16:57:31 INFO  datax-service-system main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-06-22 16:57:31 INFO  datax-service-system main com.netflix.config.DynamicPropertyFactory DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@134c38
2022-06-22 16:57:32 INFO  datax-service-system main org.springframework.boot.actuate.endpoint.web.ServletEndpointRegistrar Registered '/actuator/hystrix.stream' to hystrix.stream-actuator-endpoint
2022-06-22 16:57:32 INFO  datax-service-system main com.zaxxer.hikari.HikariDataSource mysql - Starting...
2022-06-22 16:57:33 INFO  datax-service-system main com.zaxxer.hikari.HikariDataSource mysql - Start completed.
2022-06-22 16:57:33 INFO  datax-service-system main com.baomidou.dynamic.datasource.DynamicRoutingDataSource dynamic-datasource - load a datasource named [mysql] success
2022-06-22 16:57:33 INFO  datax-service-system main com.baomidou.dynamic.datasource.DynamicRoutingDataSource dynamic-datasource initial loaded [1] datasource,primary datasource named [mysql]
2022-06-22 16:57:42 INFO  datax-service-system main org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver Exposing 18 endpoint(s) beneath base path '/actuator'
2022-06-22 16:57:43 INFO  datax-service-system main org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService
2022-06-22 16:57:43 INFO  datax-service-system main org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'taskExecutor'
2022-06-22 16:57:43 INFO  datax-service-system main springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-06-22 16:57:43 INFO  datax-service-system main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-06-22 16:57:45 INFO  datax-service-system main org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration 

Using generated security password: 398f144f-8767-4026-8196-223b678cc3a7

2022-06-22 16:57:45 INFO  datax-service-system main org.springframework.security.web.DefaultSecurityFilterChain Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@64d128d0, org.springframework.security.web.context.SecurityContextPersistenceFilter@7da3d617, org.springframework.security.web.header.HeaderWriterFilter@319e02e7, org.springframework.security.web.authentication.logout.LogoutFilter@77fec3b6, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@43f88150, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3566d527, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5796ae15, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4f755506, org.springframework.security.web.session.SessionManagementFilter@ad7cc49, org.springframework.security.web.access.ExceptionTranslationFilter@7c4663ec, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@42bd4a4c]
2022-06-22 16:57:48 INFO  datax-service-system main org.springframework.cloud.netflix.eureka.config.DiscoveryClientOptionalArgsConfiguration Eureka HTTP Client uses Jersey
2022-06-22 16:57:48 INFO  datax-service-system main org.springframework.cloud.netflix.eureka.InstanceInfoFactory Setting initial instance status as: STARTING
2022-06-22 16:57:48 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Initializing Eureka in region us-east-1
2022-06-22 16:57:48 INFO  datax-service-system main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON encoding codec LegacyJacksonJson
2022-06-22 16:57:48 INFO  datax-service-system main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON decoding codec LegacyJacksonJson
2022-06-22 16:57:49 INFO  datax-service-system main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML encoding codec XStreamXml
2022-06-22 16:57:49 INFO  datax-service-system main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML decoding codec XStreamXml
2022-06-22 16:57:49 INFO  datax-service-system main com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver Resolving eureka endpoints via configuration
2022-06-22 16:57:50 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Disable delta property : false
2022-06-22 16:57:50 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Single vip registry refresh property : null
2022-06-22 16:57:50 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Force full registry fetch : false
2022-06-22 16:57:50 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Application is null : false
2022-06-22 16:57:50 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Registered Applications size is zero : true
2022-06-22 16:57:50 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Application version is -1: true
2022-06-22 16:57:50 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Getting all instance registry info from the eureka server
2022-06-22 16:57:51 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient The response status is 200
2022-06-22 16:57:51 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Starting heartbeat executor: renew interval is: 20
2022-06-22 16:57:51 INFO  datax-service-system main com.netflix.discovery.InstanceInfoReplicator InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-06-22 16:57:51 INFO  datax-service-system main com.netflix.discovery.DiscoveryClient Discovery Client initialized at timestamp 1655888271037 with initial instances count: 3
2022-06-22 16:57:51 INFO  datax-service-system main org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry Registering application DATAX-SERVICE-SYSTEM with eureka with status UP
