2022-06-22 17:02:05 INFO  datax-service-data-quality background-preinit org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.6.Final
2022-06-22 17:02:08 INFO  datax-service-data-quality main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Fetching config from server at : http://localhost:8611/
2022-06-22 17:02:12 INFO  datax-service-data-quality main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Located environment: name=datax-service-data-quality, profiles=[dev], label=null, version=null, state=null
2022-06-22 17:02:12 INFO  datax-service-data-quality main org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/config/datax-service-data-quality-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/config/application-dev.yml'}]
2022-06-22 17:02:12 INFO  datax-service-data-quality main cn.datax.service.data.quality.DataxQualityApplication The following profiles are active: dev
2022-06-22 17:02:17 INFO  datax-service-data-quality main org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2022-06-22 17:02:17 INFO  datax-service-data-quality main org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-06-22 17:02:17 INFO  datax-service-data-quality main org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 26ms. Found 0 Redis repository interfaces.
2022-06-22 17:02:17 INFO  datax-service-data-quality main org.springframework.cloud.context.scope.GenericScope BeanFactory id=dc742060-0f32-3c1d-892b-b41e5e7f503d
2022-06-22 17:02:18 INFO  datax-service-data-quality main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:02:18 INFO  datax-service-data-quality main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$71ba8136] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:02:18 INFO  datax-service-data-quality main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:02:18 INFO  datax-service-data-quality main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@7a814310' of type [org.springframework.security.oauth2.provider.expression.OAuth2MethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:02:18 INFO  datax-service-data-quality main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 17:02:20 INFO  datax-service-data-quality main io.undertow.servlet Initializing Spring embedded WebApplicationContext
2022-06-22 17:02:20 INFO  datax-service-data-quality main org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 7731 ms
2022-06-22 17:02:20 INFO  datax-service-data-quality main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-06-22 17:02:20 INFO  datax-service-data-quality main com.netflix.config.DynamicPropertyFactory DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@432c0f1
2022-06-22 17:02:20 INFO  datax-service-data-quality main org.springframework.boot.actuate.endpoint.web.ServletEndpointRegistrar Registered '/actuator/hystrix.stream' to hystrix.stream-actuator-endpoint
2022-06-22 17:02:21 INFO  datax-service-data-quality main org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler Initializing ExecutorService
2022-06-22 17:02:21 INFO  datax-service-data-quality main org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler Initializing ExecutorService 'taskScheduler'
2022-06-22 17:02:21 INFO  datax-service-data-quality main com.zaxxer.hikari.HikariDataSource mysql - Starting...
2022-06-22 17:02:21 INFO  datax-service-data-quality main com.zaxxer.hikari.HikariDataSource mysql - Start completed.
