2022-06-13 22:20:02 INFO  datax-service-data-masterdata background-preinit org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.6.Final
2022-06-13 22:20:03 INFO  datax-service-data-masterdata main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.retry.annotation.RetryConfiguration' of type [org.springframework.retry.annotation.RetryConfiguration$$EnhancerBySpringCGLIB$$c8e8d95a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-13 22:20:04 INFO  datax-service-data-masterdata main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Fetching config from server at : http://localhost:8611/
2022-06-13 22:20:05 INFO  datax-service-data-masterdata main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Located environment: name=datax-service-data-masterdata, profiles=[dev], label=null, version=null, state=null
2022-06-13 22:20:05 INFO  datax-service-data-masterdata main org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/config/datax-service-data-masterdata-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/config/application-dev.yml'}]
2022-06-13 22:20:05 INFO  datax-service-data-masterdata main cn.datax.service.data.masterdata.DataxMasterdataApplication The following profiles are active: dev
2022-06-13 22:20:07 INFO  datax-service-data-masterdata main org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2022-06-13 22:20:07 INFO  datax-service-data-masterdata main org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-06-13 22:20:07 INFO  datax-service-data-masterdata main org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 21ms. Found 0 Redis repository interfaces.
2022-06-13 22:20:07 INFO  datax-service-data-masterdata main org.springframework.cloud.context.scope.GenericScope BeanFactory id=439f0c82-4d3b-3cc7-bf2e-a496ba702032
2022-06-13 22:20:08 INFO  datax-service-data-masterdata main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-13 22:20:08 INFO  datax-service-data-masterdata main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$3cb3b206] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-13 22:20:08 INFO  datax-service-data-masterdata main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-13 22:20:08 INFO  datax-service-data-masterdata main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@147efd9' of type [org.springframework.security.oauth2.provider.expression.OAuth2MethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-13 22:20:08 INFO  datax-service-data-masterdata main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-13 22:20:09 INFO  datax-service-data-masterdata main io.undertow.servlet Initializing Spring embedded WebApplicationContext
2022-06-13 22:20:09 INFO  datax-service-data-masterdata main org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 3890 ms
2022-06-13 22:20:09 INFO  datax-service-data-masterdata main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-06-13 22:20:09 INFO  datax-service-data-masterdata main com.netflix.config.DynamicPropertyFactory DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@542ff147
2022-06-13 22:20:10 INFO  datax-service-data-masterdata main org.springframework.boot.actuate.endpoint.web.ServletEndpointRegistrar Registered '/actuator/hystrix.stream' to hystrix.stream-actuator-endpoint
2022-06-13 22:20:10 INFO  datax-service-data-masterdata main com.zaxxer.hikari.HikariDataSource mysql - Starting...
2022-06-13 22:20:10 INFO  datax-service-data-masterdata main com.zaxxer.hikari.HikariDataSource mysql - Start completed.
2022-06-13 22:20:10 INFO  datax-service-data-masterdata main com.baomidou.dynamic.datasource.DynamicRoutingDataSource dynamic-datasource - load a datasource named [mysql] success
2022-06-13 22:20:10 INFO  datax-service-data-masterdata main com.baomidou.dynamic.datasource.DynamicRoutingDataSource dynamic-datasource initial loaded [1] datasource,primary datasource named [mysql]
2022-06-13 22:20:16 INFO  datax-service-data-masterdata main org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver Exposing 18 endpoint(s) beneath base path '/actuator'
2022-06-13 22:20:17 INFO  datax-service-data-masterdata main springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-06-13 22:20:17 INFO  datax-service-data-masterdata main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-06-13 22:20:18 INFO  datax-service-data-masterdata main org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2022-06-13 22:20:19 INFO  datax-service-data-masterdata main org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration 

Using generated security password: b6a66c6a-b113-4954-bec5-4c69c93e2dcc

2022-06-13 22:20:20 INFO  datax-service-data-masterdata main org.springframework.security.web.DefaultSecurityFilterChain Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@309e874, org.springframework.security.web.context.SecurityContextPersistenceFilter@4460edf, org.springframework.security.web.header.HeaderWriterFilter@67afba96, org.springframework.security.web.authentication.logout.LogoutFilter@5f97d43e, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@3938e876, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7000df03, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@22120799, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5080c40e, org.springframework.security.web.session.SessionManagementFilter@6ac49084, org.springframework.security.web.access.ExceptionTranslationFilter@63c78e5e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6142b9dd]
2022-06-13 22:20:21 INFO  datax-service-data-masterdata main org.springframework.cloud.netflix.eureka.config.DiscoveryClientOptionalArgsConfiguration Eureka HTTP Client uses Jersey
2022-06-13 22:20:21 INFO  datax-service-data-masterdata main org.springframework.cloud.netflix.eureka.InstanceInfoFactory Setting initial instance status as: STARTING
2022-06-13 22:20:21 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Initializing Eureka in region us-east-1
2022-06-13 22:20:22 INFO  datax-service-data-masterdata main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON encoding codec LegacyJacksonJson
2022-06-13 22:20:22 INFO  datax-service-data-masterdata main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON decoding codec LegacyJacksonJson
2022-06-13 22:20:22 INFO  datax-service-data-masterdata main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML encoding codec XStreamXml
2022-06-13 22:20:22 INFO  datax-service-data-masterdata main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML decoding codec XStreamXml
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver Resolving eureka endpoints via configuration
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Disable delta property : false
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Single vip registry refresh property : null
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Force full registry fetch : false
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Application is null : false
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Registered Applications size is zero : true
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Application version is -1: true
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Getting all instance registry info from the eureka server
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient The response status is 200
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Starting heartbeat executor: renew interval is: 20
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.InstanceInfoReplicator InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Discovery Client initialized at timestamp 1655130023797 with initial instances count: 6
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry Registering application DATAX-SERVICE-DATA-MASTERDATA with eureka with status UP
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main com.netflix.discovery.DiscoveryClient Saw local status change event StatusChangeEvent [timestamp=1655130023807, current=UP, previous=STARTING]
2022-06-13 22:20:23 INFO  datax-service-data-masterdata DiscoveryClient-InstanceInfoReplicator-0 com.netflix.discovery.DiscoveryClient DiscoveryClient_DATAX-SERVICE-DATA-MASTERDATA/li20220331.mshome.net:datax-service-data-masterdata:8828: registering service...
2022-06-13 22:20:23 INFO  datax-service-data-masterdata main io.undertow starting server: Undertow - 2.1.4.Final
