2022-06-22 16:59:33 INFO  datax-service-data-metadata background-preinit org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.6.Final
2022-06-22 16:59:37 INFO  datax-service-data-metadata main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Fetching config from server at : http://localhost:8611/
2022-06-22 16:59:38 INFO  datax-service-data-metadata main org.springframework.cloud.config.client.ConfigServicePropertySourceLocator Located environment: name=datax-service-data-metadata, profiles=[dev], label=null, version=null, state=null
2022-06-22 16:59:38 INFO  datax-service-data-metadata main org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/config/datax-service-data-metadata-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/config/application-dev.yml'}]
2022-06-22 16:59:38 INFO  datax-service-data-metadata main cn.datax.service.data.metadata.DataxMetadataApplication The following profiles are active: dev
2022-06-22 16:59:43 INFO  datax-service-data-metadata main org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2022-06-22 16:59:43 INFO  datax-service-data-metadata main org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-06-22 16:59:43 INFO  datax-service-data-metadata main org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 30ms. Found 0 Redis repository interfaces.
2022-06-22 16:59:43 INFO  datax-service-data-metadata main org.springframework.cloud.context.scope.GenericScope BeanFactory id=91eeff56-3870-3ef4-b4e9-034213610b76
2022-06-22 16:59:44 INFO  datax-service-data-metadata main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-22 16:59:44 INFO  datax-service-data-metadata main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$f0a0508e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
